"date","geography","geography code","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"2011","Darlington","E06000005","Total",105564,73433,71122,307,317,45,971,361,310,25415,6716
"2011","County Durham","E06000047","Total",513242,375599,369715,1001,607,208,1934,609,1525,107281,30362
"2011","Hartlepool","E06000001","Total",92028,65642,64349,152,168,9,689,97,178,20507,5879
"2011","Middlesbrough","E06000002","Total",138412,99084,87511,370,591,45,9757,564,246,30797,8531
"2011","Northumberland","E06000057","Total",316028,220247,216673,578,335,169,1018,494,980,75620,20161
"2011","Redcar and Cleveland","E06000003","Total",135177,96398,95111,187,64,33,598,43,362,30054,8725
"2011","Stockton-on-Tees","E06000004","Total",191610,137030,130723,388,675,94,4143,625,382,42910,11670
"2011","Gateshead","E08000037","Total",200214,140980,134075,423,497,3004,2096,356,529,47758,11476
"2011","Newcastle upon Tyne","E08000021","Total",280177,183193,158138,1701,3144,671,17561,1223,755,79345,17639
"2011","North Tyneside","E08000022","Total",200801,131601,128185,436,513,92,1493,354,528,56408,12792
"2011","South Tyneside","E08000023","Total",148127,108264,104090,223,254,57,2854,424,362,31247,8616
"2011","Sunderland","E08000024","Total",275506,199850,193642,550,607,76,3650,814,511,60358,15298
"2011","Blackburn with Darwen","E06000008","Total",147489,118806,77599,306,574,54,39817,161,295,20374,8309
"2011","Blackpool","E06000009","Total",142065,98158,95426,450,337,252,1061,61,571,34815,9092
"2011","Cheshire East","E06000049","Total",370127,261513,254940,882,1328,581,2438,279,1065,83973,24641
"2011","Cheshire West and Chester","E06000050","Total",329608,235540,231126,776,653,250,1686,195,854,72649,21419
"2011","Halton","E06000006","Total",125746,95393,94314,216,194,44,267,55,303,23543,6810
"2011","Warrington","E06000007","Total",202228,149098,144405,457,1118,147,2097,361,513,41293,11837
"2011","Cumbria","E10000006","Total",499858,364114,359235,1353,559,203,1336,64,1364,101496,34248
"2011","Bolton","E08000001","Total",276786,213568,173608,574,5988,174,32385,118,721,47567,15651
"2011","Bury","E08000002","Total",185060,139610,116036,453,817,10302,11279,301,422,34381,11069
"2011","Manchester","E08000003","Total",503127,340868,245247,3879,5452,2613,79496,2292,1889,127485,34774
"2011","Oldham","E08000004","Total",224897,176234,134167,371,1233,108,39879,70,406,36169,12494
"2011","Rochdale","E08000005","Total",211699,159374,128186,403,642,216,29426,71,430,40014,12311
