Lower tier local authorities Code,Lower tier local authorities,Not answered (Observation)
E09000001,City of London,767
E09000002,Barking and Dagenham,11991
E09000003,Barnet,31056
E09000004,Bexley,13986
E09000005,Brent,23506
E09000006,Bromley,21238
E09000007,Camden,18743
E09000008,Croydon,27035
E09000009,Ealing,24533
E09000010,Enfield,23041
E09000011,Greenwich,18716
E09000012,Hackney,22442
E09000013,Hammersmith and Fulham,15298
E09000014,Haringey,21027
E09000015,Harrow,15404
E09000016,Havering,14512
E09000017,Hillingdon,17129
E09000018,Hounslow,17469
E09000019,Islington,16902
E09000020,Kensington and Chelsea,14311
E09000021,Kingston upon Thames,11966
E09000022,Lambeth,24110
E09000023,Lewisham,22660
E09000024,Merton,14888
E09000025,Newham,22933
E09000026,Redbridge,17675
E09000027,Richmond upon Thames,13855
E09000028,Southwark,22338
E09000029,Sutton,12589
E09000030,Tower Hamlets,21318
E09000031,Waltham Forest,19548
E09000032,Wandsworth,23500
E09000033,Westminster,19179
